DungeonId,Name,Description,RequiredLevel,RecommendPower,Difficulty,IsBossStage,TimeLimit,MaxPlayers,MapId,BgmId,MonsterGroupId,RewardDatas[0].ItemId,RewardDatas[0].Count,RewardDatas[1].ItemId,RewardDatas[1].Count,ClearExp,ClearGold
던전ID,던전이름,던전설명,입장레벨,권장전투력,난이도,보스여부,제한시간(초),최대인원,맵ID,BGM_ID,몬스터그룹ID,보상아이템ID_0,보상수량_0,보상아이템ID_0,보상수량_0,클리어경험치,클리어골드
1001,어둠의 동굴,"""초보 모험가""를 위한 입문 던전",1,500,Easy,FALSE,0,4,1,101,1,2001,1,,1,100,50
1002,잊혀진 유적,고대 문명의 흔적이 남아있는 폐허,10,3000,Normal,FALSE,600,4,2,102,2,2003,1,2005,1,300,150
1003,독안개 늪지,독성 안개가 가득한 위험한 늪지대,20,6000,2,FALSE,600,4,3,103,3,2006,2,2005,1,600,300
1004,용암 동굴,마그마가 흐르는 화산 지대 내부,30,10000,Hard,FALSE,480,4,4,104,4,2008,1,2010,1,1000,500
1005,서리 왕국,영원한 겨울에 갇힌 얼음 왕국,40,15000,3,FALSE,480,4,5,105,5,2011,2,2010,1,1500,750
1006,번개 탑,"번개가 끊임없이 내리치는 마탑, 콤마 뒤의 글자",50,22000,VeryHard,FALSE,360,4,6,106,6,2013,1,2015,1,2200,1100
1007,심해 신전,심해에 잠긴 고대 해신의 신전,60,30000,4,FALSE,360,4,7,107,7,2016,2,2015,2,3000,1500
1008,마계의 관문,마계로 통하는 균열이 열린 장소,70,42000,Nightmare,FALSE,300,4,8,108,8,2018,2,2020,1,4200,2100
1009,용왕의 심연,전설의 용왕이 잠든 최후의 던전,80,60000,5,TRUE,300,4,9,109,9,2021,3,2023,2,6000,3000
